id;placed_date;status;code;customer_id
1;2020-02-25T20:49:50;COMPLETED;Georgia calculate withdrawal;1
2;2020-02-25T07:46:20;COMPLETED;compress Steel out-of-the-box;2
3;2020-02-25T09:17:32;PENDING;Concrete;3
4;2020-02-25T22:43:27;CANCELLED;Investment Account;4
5;2020-02-25T10:00:17;PENDING;United States of America;5
6;2020-02-26T00:12:21;CANCELLED;IB Industrial Credit Card Account;6
7;2020-02-26T03:18:46;CANCELLED;Cotton Egyptian Pound;7
8;2020-02-25T12:14:50;COMPLETED;Home Loan Account;8
9;2020-02-25T21:09:06;COMPLETED;Human;9
10;2020-02-25T07:17:44;CANCELLED;payment;10
